task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
221	29/fd03fd	2491802	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:50.953	13m 5s	1s	100.9%	1.5 MB	4.3 MB	139.1 KB	642 B
222	3d/b27208	2491805	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:51.228	13m 4s	0ms	94.9%	1.5 MB	22.8 MB	157.4 KB	7.8 KB
224	f2/f71032	2491804	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:51.142	13m 4s	0ms	98.7%	1.5 MB	4.3 MB	131.8 KB	643 B
229	de/80d2f0	2491807	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.403	13m 4s	0ms	102.7%	1.5 MB	22.8 MB	200.7 KB	637 B
228	6d/ab678a	2491806	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.311	13m 4s	0ms	100.5%	1.5 MB	22.8 MB	200.7 KB	12.9 KB
230	e8/9afbcc	2491808	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.501	13m 4s	1s	98.1%	1.5 MB	22.8 MB	111.2 KB	2 KB
231	64/b9ea53	2491809	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.587	13m 4s	1s	96.1%	1.5 MB	4.3 MB	111.1 KB	634 B
225	bf/721f0e	2491799	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab33_BerenF_Tab25_test)	COMPLETED	0	2025-06-15 23:41:50.644	13m 10s	0ms	84.5%	1.5 MB	22.8 MB	131.9 KB	4.8 KB
232	e0/a53076	2491810	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.671	13m 49s	8s	2.9%	15.2 MB	1.2 GB	107.9 KB	642 B
233	8e/b83a9b	2491811	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.754	13m 59s	6s	3.5%	50.6 MB	1.2 GB	108 KB	1.5 KB
235	06/8efb2c	2491812	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_AMPLICONS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.838	16m 24s	0ms	102.3%	1.5 MB	22.8 MB	105.6 KB	1.4 KB
234	9a/02fe1a	2491813	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab32_BerenF_Tab24_test)	COMPLETED	0	2025-06-15 23:41:51.938	16m 29s	1s	37.0%	1.5 MB	22.8 MB	105.6 KB	639 B
240	55/6f8ad4	2491815	NFCORE_NANOPOREMETABARCODING:NANOPOREMETABARCODING:SEQKIT_CONSENSUS (LuthienR_Tab54_BerenF_Tab22_test)	COMPLETED	0	2025-06-15 23:41:55.638	16m 25s	1s	39.2%	1.5 MB	22.8 MB	103.1 KB	637 B
